acaeff000000,,,,,,cpe_mac,app_name,trace_id,created_at,session_id,target_table
acaeff000001,,,,,,acaeff000000,"""gram""","""perf_trace_YYYMMDD_XXXX""",current time in this format 2017-08-22 17:36:37+0000,UUID4,InterfaceDevicesWifi_perf
acaeff000002,,,,,,,,,utc time,,
acaeff000003,,,,,,,,,,,
acaeff000004,,,,,,,,,,,
acaeff000005,,,,,,,,,,,
acaeff000006,,,,,,,,,,,
acaeff000007,,,,,,,,"{ ""sessionId"": ""bd56c990-87a3-11e7-93f5-e55c70cc1956"", ""cpeMac"": ""14CFE214BEF2"", ""status"": ""success"", ""deviceMacs"": null, ""traceId"": ""traceidtest"", ""appName"": ""gram"", ""pulsarTable"": ""InterfaceDevicesWifi__2017_08_23"" }",,,
acaeff000008,,,,,,,,,,,
acaeff000009,,,,,,,,,,,
acaeff00000a,,,,,,,,,,,
acaeff00000b,,,,,,,,,,,
acaeff00000c,,,,,,,,,,,
acaeff00000d,,,,,,,,,,,
acaeff00000e,,,,,,,,,,,
acaeff00000f,,,,,,,,,,,
acaeff000010,,,,,,,,,,,
acaeff000011,,,,,,,,,,,
acaeff000012,,,,,,,,,,,
acaeff000013,,,,,,,,,,,
acaeff000014,,,,,,,,,,,
acaeff000015,,,,,,,,,,,
acaeff000016,,,,,,,,,,,
acaeff000017,,,,,,,,,,,
acaeff000018,,,,,,,,,,,
acaeff000019,,,,,,,,,,,
acaeff00001a,,,,,,,,,,,
acaeff00001b,,,,,,,,,,,
acaeff00001c,,,,,,,,,,,
acaeff00001d,,,,,,,,,,,
acaeff00001e,,,,,,,,,,,
acaeff00001f,,,,,,,,,,,
acaeff000020,,,,,,,,,,,
acaeff000021,,,,,,,,,,,
acaeff000022,,,,,,,,,,,
acaeff000023,,,,,,,,,,,
acaeff000024,,,,,,,,,,,
acaeff000025,,,,,,,,,,,
acaeff000026,,,,,,,,,,,
acaeff000027,,,,,,,,,,,
acaeff000028,,,,,,,,,,,
acaeff000029,,,,,,,,,,,
acaeff00002a,,,,,,,,,,,
acaeff00002b,,,,,,,,,,,
acaeff00002c,,,,,,,,,,,
acaeff00002d,,,,,,,,,,,
acaeff00002e,,,,,,,,,,,
acaeff00002f,,,,,,,,,,,
acaeff000030,,,,,,,,,,,
acaeff000031,,,,,,,,,,,
acaeff000032,,,,,,,,,,,
acaeff000033,,,,,,,,,,,
acaeff000034,,,,,,,,,,,
acaeff000035,,,,,,,,,,,
acaeff000036,,,,,,,,,,,
acaeff000037,,,,,,,,,,,
acaeff000038,,,,,,,,,,,
acaeff000039,,,,,,,,,,,
acaeff00003a,,,,,,,,,,,
acaeff00003b,,,,,,,,,,,
acaeff00003c,,,,,,,,,,,
acaeff00003d,,,,,,,,,,,
acaeff00003e,,,,,,,,,,,
acaeff00003f,,,,,,,,,,,
acaeff000040,,,,,,,,,,,
acaeff000041,,,,,,,,,,,
acaeff000042,,,,,,,,,,,
acaeff000043,,,,,,,,,,,
acaeff000044,,,,,,,,,,,
acaeff000045,,,,,,,,,,,
acaeff000046,,,,,,,,,,,
acaeff000047,,,,,,,,,,,
acaeff000048,,,,,,,,,,,
acaeff000049,,,,,,,,,,,
acaeff00004a,,,,,,,,,,,
acaeff00004b,,,,,,,,,,,
acaeff00004c,,,,,,,,,,,
acaeff00004d,,,,,,,,,,,
acaeff00004e,,,,,,,,,,,
acaeff00004f,,,,,,,,,,,
acaeff000050,,,,,,,,,,,
acaeff000051,,,,,,,,,,,
acaeff000052,,,,,,,,,,,
acaeff000053,,,,,,,,,,,
acaeff000054,,,,,,,,,,,
acaeff000055,,,,,,,,,,,
acaeff000056,,,,,,,,,,,
acaeff000057,,,,,,,,,,,
acaeff000058,,,,,,,,,,,
acaeff000059,,,,,,,,,,,
acaeff00005a,,,,,,,,,,,
acaeff00005b,,,,,,,,,,,
acaeff00005c,,,,,,,,,,,
acaeff00005d,,,,,,,,,,,
acaeff00005e,,,,,,,,,,,
acaeff00005f,,,,,,,,,,,
acaeff000060,,,,,,,,,,,
acaeff000061,,,,,,,,,,,
acaeff000062,,,,,,,,,,,
acaeff000063,,,,,,,,,,,
acaeff000064,,,,,,,,,,,
acaeff000065,,,,,,,,,,,
acaeff000066,,,,,,,,,,,
acaeff000067,,,,,,,,,,,
acaeff000068,,,,,,,,,,,
acaeff000069,,,,,,,,,,,
acaeff00006a,,,,,,,,,,,
acaeff00006b,,,,,,,,,,,
acaeff00006c,,,,,,,,,,,
acaeff00006d,,,,,,,,,,,
acaeff00006e,,,,,,,,,,,
acaeff00006f,,,,,,,,,,,
acaeff000070,,,,,,,,,,,
acaeff000071,,,,,,,,,,,
acaeff000072,,,,,,,,,,,
acaeff000073,,,,,,,,,,,
acaeff000074,,,,,,,,,,,
acaeff000075,,,,,,,,,,,
acaeff000076,,,,,,,,,,,
acaeff000077,,,,,,,,,,,
acaeff000078,,,,,,,,,,,
acaeff000079,,,,,,,,,,,
acaeff00007a,,,,,,,,,,,
acaeff00007b,,,,,,,,,,,
acaeff00007c,,,,,,,,,,,
acaeff00007d,,,,,,,,,,,
acaeff00007e,,,,,,,,,,,
acaeff00007f,,,,,,,,,,,
acaeff000080,,,,,,,,,,,
acaeff000081,,,,,,,,,,,
acaeff000082,,,,,,,,,,,
acaeff000083,,,,,,,,,,,
acaeff000084,,,,,,,,,,,
acaeff000085,,,,,,,,,,,
acaeff000086,,,,,,,,,,,
acaeff000087,,,,,,,,,,,
acaeff000088,,,,,,,,,,,
acaeff000089,,,,,,,,,,,
acaeff00008a,,,,,,,,,,,
acaeff00008b,,,,,,,,,,,
acaeff00008c,,,,,,,,,,,
acaeff00008d,,,,,,,,,,,
acaeff00008e,,,,,,,,,,,
acaeff00008f,,,,,,,,,,,
acaeff000090,,,,,,,,,,,
acaeff000091,,,,,,,,,,,
acaeff000092,,,,,,,,,,,
acaeff000093,,,,,,,,,,,
acaeff000094,,,,,,,,,,,
acaeff000095,,,,,,,,,,,
acaeff000096,,,,,,,,,,,
acaeff000097,,,,,,,,,,,
acaeff000098,,,,,,,,,,,
acaeff000099,,,,,,,,,,,
acaeff00009a,,,,,,,,,,,
acaeff00009b,,,,,,,,,,,
acaeff00009c,,,,,,,,,,,
acaeff00009d,,,,,,,,,,,
acaeff00009e,,,,,,,,,,,
acaeff00009f,,,,,,,,,,,
acaeff0000a0,,,,,,,,,,,
acaeff0000a1,,,,,,,,,,,
acaeff0000a2,,,,,,,,,,,
acaeff0000a3,,,,,,,,,,,
acaeff0000a4,,,,,,,,,,,
acaeff0000a5,,,,,,,,,,,
acaeff0000a6,,,,,,,,,,,
acaeff0000a7,,,,,,,,,,,
acaeff0000a8,,,,,,,,,,,
acaeff0000a9,,,,,,,,,,,
acaeff0000aa,,,,,,,,,,,
acaeff0000ab,,,,,,,,,,,
acaeff0000ac,,,,,,,,,,,
acaeff0000ad,,,,,,,,,,,
acaeff0000ae,,,,,,,,,,,
acaeff0000af,,,,,,,,,,,
acaeff0000b0,,,,,,,,,,,
acaeff0000b1,,,,,,,,,,,
acaeff0000b2,,,,,,,,,,,
acaeff0000b3,,,,,,,,,,,
acaeff0000b4,,,,,,,,,,,
acaeff0000b5,,,,,,,,,,,
acaeff0000b6,,,,,,,,,,,
acaeff0000b7,,,,,,,,,,,
acaeff0000b8,,,,,,,,,,,
acaeff0000b9,,,,,,,,,,,
acaeff0000ba,,,,,,,,,,,
acaeff0000bb,,,,,,,,,,,
acaeff0000bc,,,,,,,,,,,
acaeff0000bd,,,,,,,,,,,
acaeff0000be,,,,,,,,,,,
acaeff0000bf,,,,,,,,,,,
acaeff0000c0,,,,,,,,,,,
acaeff0000c1,,,,,,,,,,,
acaeff0000c2,,,,,,,,,,,
acaeff0000c3,,,,,,,,,,,
acaeff0000c4,,,,,,,,,,,
acaeff0000c5,,,,,,,,,,,
acaeff0000c6,,,,,,,,,,,
acaeff0000c7,,,,,,,,,,,
acaeff0000c8,,,,,,,,,,,
acaeff0000c9,,,,,,,,,,,
acaeff0000ca,,,,,,,,,,,
acaeff0000cb,,,,,,,,,,,
acaeff0000cc,,,,,,,,,,,
acaeff0000cd,,,,,,,,,,,
acaeff0000ce,,,,,,,,,,,
acaeff0000cf,,,,,,,,,,,
acaeff0000d0,,,,,,,,,,,
acaeff0000d1,,,,,,,,,,,
acaeff0000d2,,,,,,,,,,,
acaeff0000d3,,,,,,,,,,,
acaeff0000d4,,,,,,,,,,,
acaeff0000d5,,,,,,,,,,,
acaeff0000d6,,,,,,,,,,,
acaeff0000d7,,,,,,,,,,,
acaeff0000d8,,,,,,,,,,,
acaeff0000d9,,,,,,,,,,,
acaeff0000da,,,,,,,,,,,
acaeff0000db,,,,,,,,,,,
acaeff0000dc,,,,,,,,,,,
acaeff0000dd,,,,,,,,,,,
acaeff0000de,,,,,,,,,,,
acaeff0000df,,,,,,,,,,,
acaeff0000e0,,,,,,,,,,,
acaeff0000e1,,,,,,,,,,,
acaeff0000e2,,,,,,,,,,,
acaeff0000e3,,,,,,,,,,,
acaeff0000e4,,,,,,,,,,,
acaeff0000e5,,,,,,,,,,,
acaeff0000e6,,,,,,,,,,,
acaeff0000e7,,,,,,,,,,,
acaeff0000e8,,,,,,,,,,,
acaeff0000e9,,,,,,,,,,,
acaeff0000ea,,,,,,,,,,,
acaeff0000eb,,,,,,,,,,,
acaeff0000ec,,,,,,,,,,,
acaeff0000ed,,,,,,,,,,,
acaeff0000ee,,,,,,,,,,,
acaeff0000ef,,,,,,,,,,,
acaeff0000f0,,,,,,,,,,,
acaeff0000f1,,,,,,,,,,,
acaeff0000f2,,,,,,,,,,,
acaeff0000f3,,,,,,,,,,,
acaeff0000f4,,,,,,,,,,,
acaeff0000f5,,,,,,,,,,,
acaeff0000f6,,,,,,,,,,,
acaeff0000f7,,,,,,,,,,,
acaeff0000f8,,,,,,,,,,,
acaeff0000f9,,,,,,,,,,,
acaeff0000fa,,,,,,,,,,,
acaeff0000fb,,,,,,,,,,,
acaeff0000fc,,,,,,,,,,,
acaeff0000fd,,,,,,,,,,,
acaeff0000fe,,,,,,,,,,,
acaeff0000ff,,,,,,,,,,,
acaeff000100,,,,,,,,,,,
acaeff000101,,,,,,,,,,,
acaeff000102,,,,,,,,,,,
acaeff000103,,,,,,,,,,,
acaeff000104,,,,,,,,,,,
acaeff000105,,,,,,,,,,,
acaeff000106,,,,,,,,,,,
acaeff000107,,,,,,,,,,,
acaeff000108,,,,,,,,,,,
acaeff000109,,,,,,,,,,,
acaeff00010a,,,,,,,,,,,
acaeff00010b,,,,,,,,,,,
